Symbol,Mean,Std,Skewness,Kurtosis,JB_Stat,JB_pValue,Is_Normal,VaR_95,CVaR_95
DANGCEM,0.0006460898499987784,0.02088172360223226,0.20476207548696757,9.783114935545234,10821.342484977959,0.0,False,-0.028531512605041942,-0.054785024779490966
DANGSUG,0.0012736190371858884,0.029393453763516073,0.3438053310638143,3.453605215220576,1399.1282123034175,1.524645796483992e-304,False,-0.046666666666666634,-0.06768133023966895
ETI,0.0007514947785552111,0.029023119009081815,0.07931758169192589,3.352080532781956,1269.9656041901062,1.7000940470115875e-276,False,-0.048412186379928265,-0.0721767834699258
FCMB,0.0010916525844640841,0.03214614109925875,0.32098120567106303,1.616231086583669,340.9379770613782,9.25249684106896e-75,False,-0.04938271604938271,-0.0692953874100563
FIDELIT,0.0013752276947972715,0.030688751997428987,0.13584710261469823,2.8552590009787115,927.8340523788063,3.3373016638345453e-202,False,-0.04680851063829783,-0.06564319191005388
FIRSTHOLD,0.0010962033635610897,0.030738729544523686,0.4115893653090802,2.544923695371659,806.7675841245905,6.49598507089332e-176,False,-0.04756781534810976,-0.06834247836456242
GTCO,0.0007466105606511004,0.023443379341119605,0.04814613477799401,4.784906015045775,2581.077522588571,0.0,False,-0.0343072252339752,-0.05609217583852993
GUINNES,0.0006484976300232476,0.02736039589587844,0.3117025309346005,5.246975473194332,3151.2398825216496,0.0,False,-0.044545454545454555,-0.06906979509431882
IBTC,0.0007720534348212438,0.024652513577654214,0.10554585316830722,5.80535439689975,3806.296091072768,0.0,False,-0.040316795595106536,-0.06248425333868191
INTBREW,0.0003947356209914162,0.03368651331151402,0.25698829988119637,2.2393203017414844,592.1604223827164,2.5941678864652354e-129,False,-0.050968523002421294,-0.07933547656047064
NB,0.00013621653936474084,0.026041898269747045,0.29303953160881285,4.615521501800744,2442.9664348085007,0.0,False,-0.04347826086956519,-0.06402934293661196
NESTLE,0.0004396593440770418,0.0195957737754147,0.5480627912112713,11.408143107851288,14826.027509735904,0.0,False,-0.026553238938053135,-0.04998815433509698
OKOMUOI,0.0016900311235241976,0.024614840690829882,0.7406321291754643,6.895015834745433,5613.183149098499,0.0,False,-0.04014501126395082,-0.05865681845241333
PRESCO,0.0018165608958493095,0.02449433356533932,0.5680023138079635,5.9753728445981125,4125.508453518782,0.0,False,-0.038261672576832106,-0.05817016812043549
SEPLAT,0.0012973932037802069,0.022577528862396876,0.706563641803906,10.263074359132847,11962.556696569232,0.0,False,-0.027290744837758146,-0.057513656588809275
STERLINGNG,0.0008942123887252547,0.03169846268012906,0.24182996259164874,1.9049493319378992,434.4856987282144,4.4939608869288824e-95,False,-0.047192096270984994,-0.06974849552075447
TOTAL,0.0007731912563349912,0.02184041191379314,0.5328380391443405,8.435015366368784,8155.352362562319,0.0,False,-0.03685446485314703,-0.05516167383658533
TRANSCO,0.0031252715628091454,0.09487780197859791,28.247751241104226,968.3696410804909,106404677.70346867,0.0,False,-0.05263157894736844,-0.08157353754446747
UBA,0.001215504106608629,0.02763541429110534,-0.006425187364839074,4.524901517623615,2310.565803842945,0.0,False,-0.04249291784702547,-0.06363909471191685
UCAP,0.0015183312136833247,0.03314414130890528,-3.268054327405925,64.35200906108082,471717.75869371835,0.0,False,-0.04433895921237693,-0.0758787467647234
WAPCO,0.00081085744624969,0.03434422122921784,0.12191472907262488,3.0947191072682556,1086.6281240180629,1.1007810106663774e-236,False,-0.06087773014900998,-0.08602715458246533
ZENITHB,0.0007566191327934736,0.024550275059008912,-0.27870533356960214,7.303037619623092,6058.37187702334,0.0,False,-0.03507751937984496,-0.0582500391733259
